name,display,manufactor,needed,forbidden,highscore
Crysis,Crysis,Original 2018,,,
CSI Crime Scene Investigation,CSI: Crime Scene Investigation,Stern 2008,"csi,stern,2008",,
Cue,Cue,Stern 1982,"Cue,Stern,1982",ball,
Cue Ball Wizard,Cue Ball Wizard,Gottlieb 1992,,,
Cuphead,Cuphead Pro,Original 2019,,,CupheadVPX.txt
Cyber Race,Cyber Race,Original 2023,,,
Cybernaut,Cybernaut,Bally 1985,,,
Cyclone,Cyclone,Williams 1988,,,
Cyclopes,Cyclopes,Game Plan 1985,,,
Dale Jr.,Dale Junior,Stern 2005,"Dale,J,Stern,2005",JP,
Dale Jr.,JP's Dale Junior,Stern 2005,"JP,Dale,J,Stern,2005",,
Daredevil and The Defenders,Daredevil and The Defenders,Original 2024,"Daredevil,Defenders",williams,
Dark Chaos,Dark Chaos,Original 2025,,,
Dark Princess,Dark Princess,Foggy Crew 2020,,,
Darkest Dungeon,Darkest Dungeon,Original 2023,,,
Darling,Darling,Williams 1973,"Darling,Williams,1973",,
Deadly Weapon,Deadly Weapon,Gottlieb 1990,,,
Deadpool,JP's Deadpool,Stern 2018,deadpool,,
Dealer's Choice,Dealer's Choice,Williams 1974,"Dealer,Choice,Williams,1974",,DealersChoice_73VPX.txt
Death Wish 3,Death Wish 3,Original 2019,,,
Deep Purple,Deep Purple,Original 2024,,,
Defender,Defender,Williams 1982,"defender,williams",daredevil,
Demolition Man,Demolition Man,Williams 1994,,,
Desert City,Desert City,Fipermatic 1977,"Desert,City,Fipermatic,1977",,
Devil Riders,Devil Riders,Zaccaria 1984,,,
Devil's Dare,Devil's Dare,Gottlieb 1982,"devil,dare",defenders,
Diablo,Diablo,Original 2017,,,
Diamond Jack,Diamond Jack,Gottlieb 1967,"Diamond,Jack,Gottlieb,1967",,
Diamond Lady,Diamond Lady,Gottlieb 1988,,,
Die Hard Trilogy,Die Hard Trilogy,Original 2023,,,
Dimension,Dimension,Gottlieb 1971,"Dimension,Gottlieb,1971",,Dimension_71VPX.txt
Dimmu Borgir,Dimmu Borgir,Original 2019,,,
Diner,Diner,Williams 1990,,,
Dipsy Doodle,Dipsy Doodle,Williams 1970,"Dipsy,Doodle,Williams,1970",,DipsyDoodle_70VPX.txt
Dirty Harry,Dirty Harry,Williams 1995,,,
Disco Fever,Disco Fever,Williams 1978,,,
Dixieland,Dixieland,Bally 1968,"Dixieland,Bally,1968",,
Doctor Who,Doctor Who,Bally 1992,,,
Dogies,Dogies,Bally 1968,"Dogies,Bally,1968",,Dogies.txt
Dolly Parton,Dolly Parton,Bally 1979,,,
Dolphin,Dolphin,Chicago Coin 1974,"Dolphin,Chicago,Coin,1974",,
Domino,Domino,Gottlieb 1968,"Domino,Gottlieb,1968",,Domino_68VPX.txt
Doodle Bug,Doodle Bug,Williams 1971,,,DoodleBug_71VPX.txt
Doom,Doom Classic Edition,Original 2019,"doom,2019","MF,2022,recel",
Double  Neon,Double  Neon,Original 2020,,,
Double-Up,Double-Up,Bally 1970,"Double-Up,Bally,1970",,
Dr. Dude,Dr. Dude,Bally 1990,"dr,dude",,
Dracula,Dracula,Stern 1979,,bram,
Dragon,Dragon,Gottlieb 1978,"dragon,gottlieb,1978",,IFDragon_77VPX.txt
Dragonball Super Saiyan Edition,Dragonball Super Saiyan Edition,Original 2025,,,
Dragoon,Dragoon,Recreativos Franco 1977,"Dragoon,Recreativos,Franco,1977",,
Dragonfist,Dragonfist,Stern 1981,"Dragonfist,Stern,1981",,
Drakor,Drakor,Taito 1980,,,
Drop-A-Card,Drop-A-Card,Gottlieb 1971,"Drop,Card,Gottlieb,1971",,DropACard_71VPX.txt
Duke Nukem 3D,Duke Nukem 3D,Original 2020,,,
Dukes of Hazzard,The Dukes of Hazzard,Original 2022,,,
Dune,Dune,Original 2024,"dune,original,2024",,
Dungeon and Dragons,Dungeons and Dragons,Bally 1987,"dungeon,dragons",,
Duotron,Duotron,Gottlieb 1974,"Duotron,Gottlieb,1974",,
Eager Beaver,Eager Beaver,Williams 1965,"Eager,Beaver,Williams,1965",,ebeaver.txt
Earth Wind Fire,Earth Wind Fire,Zaccaria 1981,,,
Earthshaker,Earthshaker,Williams 1989,,,
Eclipse,Eclipse,Gottlieb 1982,,,
Egg Head,Egg Head,Gottlieb 1961,"Egg,Head,Gottlieb,1961",,EggHead_61VPX.txt
Eight Ball,Eight Ball,Bally 1977,,"deluxe,champ,cowboy",
Eight Ball Champ,Eight Ball Champ,Bally 1985,,,
Eight Ball Deluxe,Eight Ball Deluxe,Bally 1981,,,
El Bueno El Feo y el Malo,El Bueno El Feo y el Malo,Original 2018,"el,bueno",,
El Dorado,El Dorado,Gottlieb 1975,,gold,El_Dorado_75VPX.txt
El dorado City of Gold,El dorado City of Gold,Gottlieb 1984,"city,of,gold",,
Electra-Pool,Electra-Pool,Gottlieb 1965,"Electra-Pool,Gottlieb,1965",,
Electric Mayhem,Electric Mayhem,Original 2016,,,
Elektra,Elektra,Bally 1981,,,
Elite Guard,Elite Guard,Gottlieb 1968,,,
Elvira House Horror,Elvira's House of Horror,Stern 2019,,,
Elvira Blood Red Kiss Edition,Elvira mash-up<br>Blood Red Kiss Edition,Original 2025,"elvira,blood,kiss",,
Elvira Party Monsters,Elvira and the Party Monsters,Bally 1989,"elvira,party,monsters",,
Elvis,Elvis,Stern 2004,,,
Embryon,Embryon,Bally 1981,,,
Empire Strikes Back,The Empire Strikes Back,Hankin 1980,,,
Endless Summer,The Endless Summer,Original 2020,,,
Escape from New York,Escape from New York,Original 2018,,,
Escape from the lost World,Escape from the Lost World,Bally 1987,,,
Evel Knievel,Evel Knievel,Bally 1977,,,
Evil Dead 2,Evil Dead 2,Original 2019,"evil,dead",darkness,
Evil Dead 3 Army of Darkness,Evil Dead 3: Army of Darkness,Original 2020,"evil,dead,darkness",,
Evil Fight,Evil Fight,Playmatic 1980,,,
Excalibur,Excalibur,Gottlieb 1988,,,
Exorcist,The Exorcist,Original 2023,,,
